factory_id,factory_name,city,country
1,Factory_1,Bangalore,India
2,Factory_2,Chennai,India
3,Factory_3,Mumbai,India
4,Factory_4,Delhi,India
5,Factory_5,Pune,India
6,Factory_6,Hyderabad,India
7,Factory_7,Kolkata,India
8,Factory_8,Ahmedabad,India
9,Factory_9,Jaipur,India
10,Factory_10,Lucknow,India
11,Factory_11,Mysore,India
12,Factory_12,Coimbatore,India
13,Factory_13,Nagpur,India
14,Factory_14,Surat,India
15,Factory_15,Indore,India
16,Factory_16,Kochi,India
17,Factory_17,Patna,India
18,Factory_18,Ranchi,India
19,Factory_19,Noida,India
20,Factory_20,Gurgaon,India
21,Factory_21,Chandigarh,India
22,Factory_22,Bhopal,India
23,Factory_23,Visakhapatnam,India
24,Factory_24,Vadodara,India
25,Factory_25,Kanpur,India
